,x1,x2,class
0,-0.05,0.08,0.0
1,-0.06,0.04,0.0
2,0.03,0.05,0.0
3,-0.02,-0.04,0.0
4,-0.02,0.05,0.0
5,0.0,-0.07,0.0
6,-0.01,-0.09,0.0
7,-0.04,-0.06,0.0
8,-0.05,-0.09,0.0
9,-0.02,0.03,0.0
10,-0.1,0.9,0.0
11,-0.08,0.97,0.0
12,0.0,0.92,0.0
13,-0.06,0.91,0.0
14,0.02,0.96,0.0
15,-0.07,0.96,0.0
16,-0.02,0.92,0.0
17,0.03,0.91,0.0
18,-0.09,0.96,0.0
19,-0.1,0.91,0.0
20,0.9500000000000001,-0.03,0.0
21,0.91,-0.08,0.0
22,0.93,-0.01,0.0
23,0.9500000000000001,-0.09,0.0
24,0.93,0.02,0.0
25,0.93,0.08,0.0
26,0.92,0.01,0.0
27,0.98,0.09,0.0
28,0.9500000000000001,0.06,0.0
29,0.91,0.0,0.0
30,0.97,0.92,1.0
31,0.96,0.97,1.0
32,0.92,0.9500000000000001,1.0
33,0.96,0.9,1.0
34,0.91,0.92,1.0
35,0.97,0.9400000000000001,1.0
36,0.93,0.92,1.0
37,0.92,0.98,1.0
38,0.9,0.96,1.0
39,0.9400000000000001,0.9,1.0
